#                            9.0M Z=0.02 VW93
#Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -7.488E-01  4.732E+00  -6.382E-02  -7.577E-01  4.724E+00  -6.464E-02
    he3    2.800E-05  2.800E-05   0.000E+00   2.798E-05  2.798E-05   0.000E+00
    he4    7.251E-01  2.863E+00   1.268E-01   7.291E-01  2.867E+00   1.274E-01
    li7    1.928E-07  2.760E-07   5.205E-01   1.927E-07  2.760E-07   5.204E-01
    c12   -1.921E-02  7.375E-03  -5.569E-01  -1.474E-02  1.184E-02  -3.512E-01
    c13    1.171E-03  1.490E-03   6.690E-01   1.168E-03  1.487E-03   6.681E-01
    n14    5.416E-02  6.232E-02   8.831E-01   5.402E-02  6.218E-02   8.821E-01
    n15   -2.613E-05  6.115E-06  -7.221E-01  -2.614E-05  6.102E-06  -7.231E-01
    o16   -1.456E-02  5.948E-02  -9.514E-02  -1.446E-02  5.959E-02  -9.438E-02
    o17    3.012E-04  3.313E-04   1.041E+00   3.005E-04  3.306E-04   1.040E+00
    o18   -1.584E-04  9.548E-06  -1.245E+00  -1.584E-04  9.548E-06  -1.245E+00
    f19   -3.338E-06  1.003E-06  -6.363E-01  -3.166E-06  1.176E-06  -5.673E-01
   ne20    2.152E-05  1.409E-02   6.383E-04   4.071E-05  1.411E-02   1.229E-03
   ne21   -3.115E-05  4.757E-06  -8.779E-01  -2.996E-05  5.948E-06  -7.808E-01
   ne22    9.262E-04  2.056E-03   2.599E-01   9.493E-04  2.079E-03   2.648E-01
   na23    2.633E-04  5.727E-04   2.674E-01   2.649E-04  5.743E-04   2.686E-01
   mg24   -1.296E-03  3.240E-03  -1.461E-01  -1.288E-03  3.248E-03  -1.451E-01
   mg25    1.456E-03  2.054E-03   5.358E-01   1.572E-03  2.170E-03   5.596E-01
   mg26    5.674E-04  1.252E-03   2.621E-01   8.678E-04  1.553E-03   3.554E-01
   al26    1.205E-05  1.205E-05   0.000E+00   1.202E-05  1.202E-05   0.000E+00
   al27    1.079E-05  5.123E-04   9.220E-03   1.484E-05  5.163E-04   1.264E-02
   si28    2.043E-05  5.787E-03   1.510E-03   2.915E-05  5.796E-03   2.164E-03
   si29    6.760E-06  3.091E-04   9.578E-03   1.063E-05  3.130E-04   1.498E-02
   si30    1.473E-05  2.224E-04   2.974E-02   2.257E-05  2.302E-04   4.480E-02
    p31    3.126E-06  5.810E-05   2.399E-02   4.790E-06  5.977E-05   3.626E-02
    s32   -7.344E-06  4.083E-03  -8.058E-04  -1.169E-05  4.079E-03  -1.269E-03
    s33    1.619E-07  3.346E-05   2.080E-03   2.094E-07  3.351E-05   2.696E-03
    s34   -6.744E-06  1.659E-03  -1.788E-03  -9.472E-06  1.656E-03  -2.502E-03
    s35    7.473E-06  7.473E-06   0.000E+00   1.057E-05  1.057E-05   0.000E+00
   fe54   -4.744E-06  6.187E-04  -3.342E-03  -5.913E-06  6.176E-04  -4.164E-03
   fe55    2.091E-06  2.091E-06   0.000E+00   2.088E-06  2.088E-06   0.000E+00
   fe56   -4.144E-05  1.018E-02  -1.790E-03  -5.974E-05  1.016E-02  -2.572E-03
   fe57    3.808E-06  2.534E-04   6.552E-03   3.718E-06  2.533E-04   6.398E-03
   fe58    9.907E-06  4.222E-05   1.161E-01   1.335E-05  4.566E-05   1.501E-01
   fe60    1.365E-05  1.365E-05   0.000E+00   2.159E-05  2.159E-05   0.000E+00
   co59    5.256E-06  3.614E-05   6.824E-02   5.829E-06  3.671E-05   7.506E-02
   ni58   -2.598E-06  4.405E-04  -2.579E-03  -3.431E-06  4.397E-04  -3.401E-03
   ni60    4.911E-07  1.757E-04   1.190E-03   1.605E-07  1.754E-04   3.722E-04
   ni61    4.082E-05  4.853E-05   7.988E-01   4.904E-05  5.675E-05   8.668E-01
   ni62   -2.475E-05  1.559E-07  -2.203E+00  -2.475E-05  1.559E-07  -2.203E+00
      g    2.111E-06  2.564E-06   7.531E-01   3.192E-06  3.645E-06   9.059E-01
