#			    8.5M Z=0.008 VW93 
#Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.843E-01  4.650E+00  -5.965E-02  -6.912E-01  4.644E+00  -6.029E-02
    he3    1.992E-05  1.992E-05   0.000E+00   1.992E-05  1.992E-05   0.000E+00
    he4    6.613E-01  2.543E+00   1.308E-01   6.640E-01  2.546E+00   1.312E-01
    li7    1.348E-07  1.659E-07   7.263E-01   1.348E-07  1.659E-07   7.263E-01
    c12   -5.522E-03  4.826E-03  -3.313E-01  -1.751E-03  8.597E-03  -8.055E-02
    c13    7.327E-04  8.522E-04   8.530E-01   7.306E-04  8.501E-04   8.519E-01
    n14    3.258E-02  3.576E-02   1.052E+00   3.251E-02  3.569E-02   1.051E+00
    n15   -8.547E-06  3.522E-06  -5.349E-01  -8.549E-06  3.520E-06  -5.352E-01
    o16   -5.924E-03  2.290E-02  -9.993E-02  -5.710E-03  2.312E-02  -9.589E-02
    o17    1.245E-04  1.358E-04   1.081E+00   1.243E-04  1.356E-04   1.080E+00
    o18   -5.948E-05  3.377E-06  -1.270E+00  -5.948E-05  3.377E-06  -1.270E+00
    f19   -1.355E-06  2.696E-07  -7.799E-01  -1.323E-06  3.012E-07  -7.319E-01
   ne20    4.694E-05  5.313E-03   3.829E-03   6.428E-05  5.330E-03   5.244E-03
   ne21   -1.196E-05  1.481E-06  -9.579E-01  -1.151E-05  1.930E-06  -8.430E-01
   ne22    4.552E-04  8.782E-04   3.172E-01   4.586E-04  8.816E-04   3.189E-01
   na23    6.151E-05  1.773E-04   1.850E-01   6.276E-05  1.786E-04   1.880E-01
   mg24   -1.161E-03  5.363E-04  -5.004E-01  -1.154E-03  5.432E-04  -4.949E-01
   mg25    1.267E-03  1.491E-03   8.234E-01   1.316E-03  1.540E-03   8.375E-01
   mg26    3.008E-04  5.571E-04   3.371E-01   4.462E-04  7.025E-04   4.378E-01
   al26    1.504E-05  1.504E-05   0.000E+00   1.500E-05  1.500E-05   0.000E+00
   al27    1.023E-05  1.979E-04   2.303E-02   1.229E-05  2.000E-04   2.752E-02
   si28    1.372E-05  2.171E-03   2.728E-03   1.688E-05  2.174E-03   3.360E-03
   si29    3.229E-06  1.164E-04   1.219E-02   4.665E-06  1.179E-04   1.751E-02
   si30    7.175E-06  8.489E-05   3.832E-02   1.044E-05  8.816E-05   5.473E-02
    p31    1.697E-06  2.228E-05   3.438E-02   2.504E-06  2.308E-05   4.984E-02
    s32   -3.799E-06  1.527E-03  -1.105E-03  -5.264E-06  1.526E-03  -1.521E-03
    s33    6.914E-08  1.253E-05   2.377E-03   9.953E-08  1.256E-05   3.429E-03
    s34   -2.833E-06  6.205E-04  -2.004E-03  -3.683E-06  6.196E-04  -2.599E-03
    s35    3.162E-06  3.162E-06   0.000E+00   4.150E-06  4.150E-06   0.000E+00
   fe54   -1.904E-06  2.314E-04  -3.585E-03  -2.248E-06  2.310E-04  -4.232E-03
   fe55    8.289E-07  8.289E-07   0.000E+00   8.276E-07  8.276E-07   0.000E+00
   fe56   -1.720E-05  3.808E-03  -1.982E-03  -2.278E-05  3.803E-03  -2.619E-03
   fe57    1.341E-06  9.473E-05   6.167E-03   1.235E-06  9.462E-05   5.681E-03
   fe58    3.180E-06  1.528E-05   1.013E-01   3.635E-06  1.573E-05   1.141E-01
   fe60    6.021E-06  6.021E-06   0.000E+00   8.416E-06  8.416E-06   0.000E+00
   co59    1.752E-06  1.331E-05   6.126E-02   2.100E-06  1.366E-05   7.247E-02
   ni58   -1.048E-06  1.648E-04  -2.780E-03  -1.294E-06  1.645E-04  -3.426E-03
   ni60    1.088E-07  6.572E-05   6.938E-04   1.858E-08  6.563E-05   9.748E-05
   ni61    1.738E-05  2.027E-05   8.464E-01   2.097E-05  2.386E-05   9.172E-01
   ni62   -9.253E-06  7.049E-08  -2.121E+00  -9.253E-06  7.049E-08  -2.121E+00
      g    1.111E-06  1.280E-06   8.782E-01   1.628E-06  1.797E-06   1.026E+00
