# Initial abundances
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 6.34954E-01
 he   2  11.117113  0.187113 -0.324026 -0.318152 3.30203E-01
 li   3   3.770535  0.510535 -0.000604  0.005269 2.57774E-08
 be   4   0.000000 -1.300000  0.000000  0.000000 0.00000E+00
  b   5   0.000000 -2.790000  0.000000  0.000000 0.00000E+00
  c   6   8.981132  0.511131 -0.000008  0.005866 7.24424E-03
  n   7   8.381143  0.511143  0.000004  0.005877 2.12212E-03
  o   8   9.235265  0.505265 -0.005874  0.000000 1.73237E-02
  f   9   4.971132  0.551132  0.039993  0.045867 1.11975E-06
 ne  10   8.481137  0.511137 -0.000001  0.005872 3.84893E-03
 na  11   6.821152  0.511152  0.000013  0.005887 9.59341E-05
 mg  12   8.151135  0.511136 -0.000003  0.005870 2.16827E-03
 al  13   6.981141  0.511141  0.000002  0.005876 1.62741E-04
 si  14   8.061142  0.511142  0.000003  0.005877 2.03664E-03
  p  15   5.981141  0.511141  0.000002  0.005876 1.86819E-05
  s  16   7.671053  0.511053 -0.000086  0.005788 9.47035E-04
 fe  26   8.051139  0.511139  0.000000  0.005874 3.95736E-03
 co  27   5.381137  0.511137 -0.000001  0.005872 8.92849E-06
 ni  28   6.707104  0.507104 -0.004035  0.001839 1.88353E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  5.5702E-01, c12/c13 = 8.93984E+01
# N/O =  1.3992E-01, n14/n15 = 4.34988E+02
# o16/o17 = 2.63212E+03, o16/o18 = 5.00000E+02
# mg24/mg25 =  7.8990E+00, mg24/mg26 =  7.1744E+00 al26/al27 =  0.0000E+00
# si28/si29 =  1.9693E+01, si28/si30 =  2.9875E+01
# cl36/cl35 =  2.3094E-02, cl37/cl35 =  3.0735E-03
#
# During TP-AGB
#  TP   Mass     Mcore    Menv    log L
#  1 2.488750 0.579141 1.909609 3.587422
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 6.26512E-01
 he   2  11.133351  0.203351 -0.307788 -0.301914 3.38225E-01
 li   3   3.137665 -0.122335 -0.633474 -0.627600 5.92319E-09
 be   4   0.000000 -1.300000  0.000000  0.000000 6.49606E-22
